S. No.,Registration No,Pharmacy Name,District,Pranali,Prescription Type,Wholesale/Retail
829,3.72052E+12,TORAN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
830,3.72052E+12,AJ MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
831,3.72052E+12,GOPI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
832,3.72052E+12,KSHITIZ MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
833,3.72052E+12,DS PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
834,3.72052E+12,MORANG JYOTI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
835,3.72052E+12,MUKTI NATH MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
836,3.72052E+12,YESODA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
837,3.72052E+12,BHIMA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
838,3.72052E+12,BHADRA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
839,3.72052E+12,CHANDRABINAYAK MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
840,3.72052E+12,SUDRISHTI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
841,3.72052E+12,KIRAT MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
842,3.72052E+12,JANATA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
843,3.72052E+12,TAHACHAL MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
844,3.72052E+12,LAHAN AAUSHADHI PASAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
845,3.72052E+12,GORKHA MANASALU MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
846,3.72052E+12,SURAKSHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
847,3.72052E+12,FM PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
848,3.72052E+12,BALKUMARI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
849,3.72052E+12,SAMHITA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
850,3.72052E+12,CHAULAGAIN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
851,3.72052E+12,DUPCHESHWOR SURYA AAUSHADHI PASAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
852,3.72052E+12,PURNESHWOR PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
853,3.72052E+12,ANISH MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
854,3.72052E+12,RATNA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
855,3.72052E+12,ROSHAN MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
856,3.72052E+12,KHICHAPOKHARI AAUSHADHI PASAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
857,3.72052E+12,MEDICHEM PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
858,3.72052E+12,STAR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
859,3.72052E+12,JANAHIT PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
860,3.72052E+12,SU PRATIKSHA MEDICAL STORE,Kathmandu,ALLOPATHY,"A,B,C",Retail
861,3.72052E+12,PRAKASH PHARMACIA,Kathmandu,ALLOPATHY,"A,B,C",Retail
862,3.72052E+12,NIKITA MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
863,3.72052E+12,JAYA JANATA POLYCLINIC RESEARCH CENTER PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
864,3.72052E+12,M N PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
865,3.72052E+12,SUDHAN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
866,3.72052E+12,ANJU MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
867,3.72052E+12,KUSHMA MEDICAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
868,3.72052E+12,M SUMAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
869,3.72052E+12,BALGANPATI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
870,3.72052E+12,BHUSHAL MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
871,3.72052E+12,GOPAL MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
872,3.72052E+12,MARGDARSHAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
873,3.72052E+12,NARAYANTHAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
874,3.72052E+12,TIKA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
875,3.72052E+12,NAVANATH OKHATI GHAR,Kathmandu,ALLOPATHY,"A,B,C",Retail
876,3.72052E+12,MANISH MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
877,3.72052E+12,ABI MEDICINE CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
878,3.72052E+12,PRADEEP PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
879,3.72052E+12,SHEKHAR MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
880,3.72052E+12,IDEAL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
881,3.72052E+12,KYATHI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
882,3.72052E+12,ANU PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
883,3.72052E+12,NUTAN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
884,3.72052E+12,BRIGHT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
885,3.72052E+12,SULAV PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
886,3.72052E+12,NIKEM MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
887,3.72052E+12,PLAN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
888,3.72052E+12,KASHPUN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
889,3.72052E+12,OKHAL MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
890,3.72052E+12,GEHENDRA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
891,3.72052E+12,ANUP PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
892,3.72052E+12,ISHWOR MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
893,3.72052E+12,SHUBHA ARSHIBAD PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
894,3.72052E+12,KARUN MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
895,3.72052E+12,JAYA KALIKA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
896,3.72052E+12,DIBYA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
897,3.72052E+12,SUMAN MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
898,3.72052E+12,UJJWOL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
899,3.72052E+12,PANASI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
900,3.72052E+12,MUNA MEDICO,Kathmandu,ALLOPATHY,"A,B,C",Retail
901,3.72052E+12,PADAM JYOTI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
902,3.72052E+12,BHISHMA SANTOSH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
903,3.72052E+12,Kathmandu Hospital PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
904,3.72052E+12,ABHACD PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
905,3.72052E+12,NUWAKOT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
906,3.72052E+12,SINGH PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
907,3.72052E+12,TEJ BINAYAK MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
908,3.72052E+12,Rochak Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
909,3.72052E+12,KOIRALA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
910,3.72052E+12,GYANI MED CONCERN,Kathmandu,ALLOPATHY,"A,B,C",Retail
911,3.72052E+12,SUPAR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
912,3.72052E+12,KIRAN SANTOSH PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
913,3.72052E+12,BUDHATHOKI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
914,3.72052E+12,SD PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
915,3.72052E+12,AAYUSH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
916,3.72052E+12,NAWASUKHAD PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
917,3.72052E+12,SCOPE MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
918,3.72052E+12,DAHAL MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
919,3.72052E+12,SAMIKSHA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
920,3.72052E+12,MAHABI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
921,3.72052E+12,PIYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
922,3.72052E+12,SAMRACHANA DRUG HOUSE,Kathmandu,ALLOPATHY,"A,B,C",Retail
923,3.72052E+12,MOLIN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
924,3.72052E+12,KHUSHI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
925,3.72052E+12,NABIN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
926,3.72052E+12,SITAPAILA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
927,3.72052E+12,SRI SANDESH PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
928,3.72052E+12,AYS PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
929,3.72052E+12,SAMAYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
930,3.72052E+12,GREENLAND PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
931,3.72052E+12,BHAROSA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
932,3.72052E+12,NRIBINDA DRUG HOUSE,Kathmandu,ALLOPATHY,"A,B,C",Retail
933,3.72052E+12,KABINDRA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
934,3.72052E+12,ANUJ RAJA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
935,3.72052E+12,NAWA JEEVAN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
936,3.72052E+12,BHIM MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
937,3.72052E+12,NAWA SONY PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
938,3.72052E+12,CHISAPANI MEDICINE CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
939,3.72052E+12,WELCOME PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
940,3.72052E+12,SDPHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
941,3.72052E+12,PUNYA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
942,3.72052E+12,RAJ JOSHI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
943,3.72052E+12,HEMLAL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
944,3.72052E+12,RUDHRA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
945,3.72052E+12,RAJASI AAUSHADHI PASAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
946,3.72052E+12,SHUBHA SHRI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
947,3.72052E+12,DIPESH PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
948,3.72052E+12,OSHAN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
949,3.72052E+12,MANOHARA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
950,3.72052E+12,AASHIM PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
951,3.72052E+12,CHHATRA DEV PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
952,3.72052E+12,PRATHAM MEDICO,Kathmandu,ALLOPATHY,"A,B,C",Retail
953,3.72052E+12,MEDINOOR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
954,3.72052E+12,OM PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
955,3.72052E+12,AAYAM PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
956,3.72052E+12,SAHIL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
957,3.72052E+12,CHABI ADHIKARI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
958,3.72052E+12,FLORENS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
959,3.72052E+12,RUVI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
960,3.72052E+12,DEV PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
961,3.72052E+12,SHRADHDA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
962,3.72052E+12,ALOKNAGAR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
963,3.72052E+12,TAMIKOT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
964,3.72052E+12,BALMIKI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
965,3.72052E+12,JEEVAN DARSHAN MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
966,3.72052E+12,SHRIJANSHIL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
967,3.72052E+12,Enjel Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
968,3.72052E+12,SHISHIR MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
969,3.72052E+12,JS MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
970,3.72052E+12,JUN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
971,3.72052E+12,KRISHNA MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
972,3.72052E+12,BANDA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
973,3.72052E+12,SALABHI MEDICINE,Kathmandu,ALLOPATHY,"A,B,C",Retail
974,3.72052E+12,RUMIKA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
975,3.72052E+12,ARYAL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
976,3.72052E+12,BIHANI AAUSHADHI PASAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
977,3.72052E+12,MEDICO HOME,Kathmandu,ALLOPATHY,"A,B,C",Retail
978,3.72052E+12,CHANDRA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
979,3.72052E+12,CHAULIKHA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
980,3.72052E+12,KARMACHARYA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
981,3.72052E+12,TIWARI MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
982,3.72052E+12,LASKUS PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
983,3.72052E+12,KARNATAK MEDICAL STORES,Kathmandu,ALLOPATHY,"A,B,C",Retail
984,3.72052E+12,SAMPAT PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
985,3.72052E+12,KRIPA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
986,3.72052E+12,HANUMAN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
987,3.72052E+12,AAUSHIT PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
988,3.72052E+12,KULESHWOR PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
989,3.72052E+12,SUNLIGHT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
990,3.72052E+12,MANMANESHWORI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
991,3.72052E+12,BINAMRA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
992,3.72052E+12,DHARMATMA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
993,3.72052E+12,SANGHARSHA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
994,3.72052E+12,MILAN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
995,3.72052E+12,PRATISHTHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
996,3.72052E+12,JEEVAN RAKSHA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
997,3.72052E+12,UPAKAR MEDICAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
998,3.72052E+12,SHIVA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
999,3.72052E+12,SAMYAK PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1000,3.72052E+12,JAYA LAXMI MEDICAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1001,3.72052E+12,JANA JEEVAN MEDICAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1002,3.72052E+12,SWANIG PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1003,3.72052E+12,SAURAV PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1004,3.72052E+12,DEURALI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1005,3.72052E+12,HIMAL MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
1006,3.72052E+12,BANDHU MEDICAL STORE,Kathmandu,ALLOPATHY,"A,B,C",Retail
1007,3.72052E+12,MANI MEDICINE CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
1008,3.72052E+12,JAGAT AAMA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1009,3.72052E+12,SANJIWANI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1010,3.72052E+12,CHANDRA JYOTI MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
1011,3.72052E+12,NABIN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1012,3.72052E+12,SAPHAL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1013,3.72052E+12,BPS MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1014,3.72052E+12,RABIN MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
1015,3.72052E+12,BHATTARAI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1016,3.72052E+12,PASHUPATI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1017,3.72052E+12,HIM SAGAR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1018,3.72052E+12,ANUSHRI MEDICO,Kathmandu,ALLOPATHY,"A,B,C",Retail
1019,3.72052E+12,SHREE SWOSTHANI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1020,3.72052E+12,LUMBINI DRUG CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
1021,3.72052E+12,HARSHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1022,3.72052E+12,RAJBHANDARI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1023,3.72052E+12,MANIK PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1024,3.72052E+12,IMAGE PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1025,3.72052E+12,R K MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1026,3.72052E+12,BIPUL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1027,3.72052E+12,SHUBHAM MEDICAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1028,3.72052E+12,RUKMINI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1029,3.72052E+12,WORLD PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1030,3.72052E+12,ASHISH OJHA MEDICAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1031,3.72052E+12,SAUGAT MEDICAL STORE,Kathmandu,ALLOPATHY,"A,B,C",Retail
1032,3.72052E+12,JAL BINAYAK CHOWK AAUSHADHI PASAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1033,3.72052E+12,JAMKATEL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1034,3.72052E+12,SHARADA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1035,3.72052E+12,DHAULAGIRI MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
1036,3.72052E+12,MARTINA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1037,3.72052E+12,NISHCHIT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1038,3.72052E+12,NABIN TIWARI MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
1039,3.72052E+12,SHUBHA KARMACHARYA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1040,3.72052E+12,KMC PHARMACY AND MEDICAL SUPPLIES PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
1041,3.72052E+12,SHUBHA NAM MEDICO,Kathmandu,ALLOPATHY,"A,B,C",Retail
1042,3.72052E+12,RIYA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1043,3.72052E+12,INDRAYANI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1044,3.72052E+12,RAJBHANDARI PHARMACEUTICALS,Kathmandu,ALLOPATHY,"A,B,C",Retail
1045,3.72052E+12,NIRMALA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1046,3.72052E+12,ROSHANI MEDICAL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1047,3.72052E+12,WASHA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1048,3.72052E+12,TIRHUT BABA AAUDHADHI PASAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1049,3.72052E+12,SHANKHAMUL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1050,3.72052E+12,DIKSHA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1051,3.72052E+12,SARAS MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1052,3.72052E+12,DIBYA DRISHTHI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1053,3.72052E+12,DIYA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1054,3.72052E+12,NISHCAL MEDICINE CENTRE AND PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1055,3.72052E+12,SANJIWANI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1056,3.72052E+12,SANDESH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1057,3.72052E+12,SAIYAM PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1058,3.72052E+12,CAPITAL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1059,3.72052E+12,RENU PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1060,3.72052E+12,SARBANIDAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1061,3.72052E+12,Aayushree Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
1062,3.72052E+12,AK MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1063,3.72052E+12,BUDDHA PARK PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1064,3.72052E+12,NIMS PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1065,3.72052E+12,DIKSHA PHARMACO,Kathmandu,ALLOPATHY,"A,B,C",Retail
1066,3.72052E+12,CHANDRAMA MEDICINE CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
1067,3.72052E+12,YALA WASHA PASHA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1068,3.72052E+12,RAHUL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1069,3.72052E+12,SAKHA DRUG STORE,Kathmandu,ALLOPATHY,"A,B,C",Retail
1070,3.72052E+12,GANGA MED PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1071,3.72052E+12,CHIKANMUGAL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1072,3.72052E+12,DINESH AAUSHADHI PASAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1073,3.72052E+12,TAAL MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1074,3.72052E+12,GURUNG PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1075,3.72052E+12,BYASU MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1076,3.72052E+12,SHRI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1077,3.72052E+12,OM SHIVAM PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1078,3.72052E+12,TALACHHI MEDICAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1079,3.72052E+12,GANESH PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1080,3.72052E+12,NEPAL MEDICO,Kathmandu,ALLOPATHY,"A,B,C",Retail
1081,3.72052E+12,RESHMA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1082,3.72052E+12,CHHETRAPATI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1083,3.72052E+12,SHAILESHWORI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1084,3.72052E+12,GORKHALI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1085,3.72052E+12,GITA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1086,3.72052E+12,MUDBHARI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1087,3.72052E+12,RABIG PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1088,3.72052E+12,RURAL HEALTH CARE CENTER PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
1089,3.72052E+12,PAKNAJOL PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1090,3.72052E+12,TE BAHA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1091,3.72052E+12,KHADGA YOGINI MEDICAL STORES,Kathmandu,ALLOPATHY,"A,B,C",Retail
1092,3.72052E+12,SHRI SUBHA ASHWINI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1093,3.72052E+12,KASHTHAMANDAP PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1094,3.72052E+12,PALPALI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1095,3.72052E+12,SATYA BHAMA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1096,3.72052E+12,stupa pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
1097,3.72052E+12,KARUN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
